CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,325,1,77183.6,1,1,5,115,Cant Lose
12347,1,7,4310.0,5,5,5,555,Champions
12348,74,4,1797.24,2,4,4,244,At Risk
12349,18,1,1757.55,4,1,4,414,Promising
12350,309,1,334.4,1,1,2,112,Lost
12352,35,8,2506.04,3,5,5,355,Loyal Customers
12353,203,1,89.0,1,1,1,111,Lost
12354,231,1,1079.4,1,1,4,114,Cant Lose
12355,213,1,459.4,1,1,2,112,Lost
12356,22,3,2811.43,4,3,5,435,Loyal Customers
12357,32,1,6207.67,4,1,5,415,Promising
12358,1,2,1168.06,5,2,4,524,Promising
12359,57,4,6372.58,3,4,5,345,Loyal Customers
12360,51,3,2662.06,3,3,5,335,Loyal Customers
12361,286,1,189.9,1,1,1,111,Lost
12362,2,10,5226.23,5,5,5,555,Champions
12363,109,2,552.0,2,2,3,223,Cant Lose
12364,7,4,1313.1,5,4,4,544,Champions
12365,290,2,641.38,1,2,3,123,Cant Lose
12367,3,1,168.9,5,1,1,511,Promising
12370,50,4,3545.69,3,4,5,345,Loyal Customers
12371,44,2,1887.96,3,2,4,324,Others
12372,71,3,1298.04,3,3,4,334,Loyal Customers
12373,310,1,364.6,1,1,2,112,Lost
12374,24,1,742.9300000000001,4,1,3,413,Promising
12375,10,2,457.5,5,2,2,522,Promising
12377,314,2,1628.12,1,2,4,124,Cant Lose
12378,129,1,4008.62,2,1,5,215,Cant Lose
12379,81,2,852.24,2,2,3,223,Cant Lose
12380,21,4,2724.81,4,4,5,445,Champions
12381,4,5,1845.31,5,4,4,544,Champions
12383,184,5,1850.56,1,4,4,144,At Risk
12384,28,2,585.27,4,2,3,423,Promising
12386,337,2,401.9,1,2,2,122,Lost
12388,15,6,2780.66,4,4,5,445,Champions
12390,79,1,549.84,2,1,3,213,Cant Lose
12391,21,1,460.89,4,1,2,412,Promising
12393,71,4,1582.6000000000001,3,4,4,344,Loyal Customers
12394,63,2,1272.48,3,2,4,324,Others
12395,18,12,3018.63,4,5,5,455,Champions
12397,35,2,2409.9,3,2,5,325,Others
12398,45,1,1635.6599999999999,3,1,4,314,Others
12399,118,4,1108.65,2,4,4,244,At Risk
12401,302,1,84.3,1,1,1,111,Lost
12402,322,1,225.6,1,1,1,111,Lost
12403,49,1,427.7,3,1,2,312,Need Attention
12405,148,1,1710.39,2,1,4,214,Cant Lose
12406,21,2,3415.3,4,2,5,425,Promising
12407,49,5,1708.1200000000001,3,4,4,344,Loyal Customers
12408,32,5,2888.55,4,4,5,445,Champions
12409,78,3,11072.67,2,3,5,235,At Risk
12410,308,2,693.3299999999999,1,2,3,123,Cant Lose
12412,74,3,1226.88,2,3,4,234,At Risk
12413,66,3,758.1,3,3,3,333,Loyal Customers
12414,216,3,562.41,1,3,3,133,At Risk
12415,23,21,124914.53,4,5,5,455,Champions
12417,2,9,3649.1,5,5,5,555,Champions
12418,112,1,668.58,2,1,3,213,Cant Lose
12420,63,1,600.39,3,1,3,313,Others
12421,15,4,807.04,4,4,3,443,Loyal Customers
12422,95,3,803.5600000000001,2,3,3,233,At Risk
12423,0,8,1859.31,5,5,4,554,Champions
12424,162,2,1760.96,2,2,4,224,Cant Lose
12425,77,1,777.2,2,1,3,213,Cant Lose
12426,194,1,582.73,1,1,3,113,Cant Lose
12427,21,3,825.8,4,3,3,433,Loyal Customers
12428,25,9,7956.46,4,5,5,455,Champions
12429,8,4,3750.4,5,4,5,545,Champions
12430,42,1,256.4,3,1,2,312,Need Attention
12431,35,15,6487.45,3,5,5,355,Loyal Customers
12432,42,5,5059.32,3,4,5,345,Loyal Customers
12433,0,7,13375.87,5,5,5,555,Champions
12434,84,2,806.14,2,2,3,223,Cant Lose
12435,79,2,7829.89,2,2,5,225,Cant Lose
12436,99,1,509.01,2,1,3,213,Cant Lose
12437,1,18,4951.41,5,5,5,555,Champions
12438,13,2,2906.85,4,2,5,425,Promising
12441,366,1,173.55,1,1,1,111,Lost
12442,2,1,172.06,5,1,1,511,Promising
12444,20,5,5005.46,4,4,5,445,Champions
12445,21,1,133.4,4,1,1,411,Promising
